Summary,Temperature (C),Date,Hour
Mostly Cloudy,11.18333333,16.4.2006,22
Mostly Cloudy,11.66666667,16.4.2006,23
Partly Cloudy,8.977777778,17.4.2006,0
Mostly Cloudy,10.57777778,17.4.2006,1
Mostly Cloudy,10.53333333,17.4.2006,2
Mostly Cloudy,10.58888889,17.4.2006,3
Mostly Cloudy,9.983333333,17.4.2006,4
Mostly Cloudy,11.02222222,17.4.2006,5
Partly Cloudy,13.53888889,17.4.2006,6
Partly Cloudy,13.88888889,17.4.2006,7
Partly Cloudy,15.0,17.4.2006,8
Partly Cloudy,17.18333333,17.4.2006,9
Mostly Cloudy,16.2,17.4.2006,10
Mostly Cloudy,17.75,17.4.2006,11
Mostly Cloudy,18.40555556,17.4.2006,12
Partly Cloudy,17.82222222,17.4.2006,13
Partly Cloudy,17.31111111,17.4.2006,14
Partly Cloudy,17.50555556,17.4.2006,15
Mostly Cloudy,17.26666667,17.4.2006,16
Mostly Cloudy,15.13888889,17.4.2006,17
Mostly Cloudy,13.25,17.4.2006,18
Partly Cloudy,12.29444444,17.4.2006,19
Partly Cloudy,10.7,17.4.2006,20
Partly Cloudy,9.855555556,17.4.2006,21
Partly Cloudy,9.522222222,17.4.2006,22
Partly Cloudy,8.405555556,17.4.2006,23
Mostly Cloudy,13.01111111,18.4.2006,0
Partly Cloudy,7.733333333,18.4.2006,1
Partly Cloudy,6.138888889,18.4.2006,2
Partly Cloudy,6.472222222,18.4.2006,3
Foggy,6.627777778,18.4.2006,4
Clear,8.688888889,18.4.2006,5
Partly Cloudy,11.99444444,18.4.2006,6
Partly Cloudy,13.76666667,18.4.2006,7
Partly Cloudy,15.08888889,18.4.2006,8
Partly Cloudy,16.45555556,18.4.2006,9
Partly Cloudy,17.31111111,18.4.2006,10
Partly Cloudy,17.87222222,18.4.2006,11
Partly Cloudy,19.03888889,18.4.2006,12
Partly Cloudy,18.97777778,18.4.2006,13
Partly Cloudy,19.00555556,18.4.2006,14
Mostly Cloudy,19.01111111,18.4.2006,15
Mostly Cloudy,17.86666667,18.4.2006,16
Mostly Cloudy,17.26666667,18.4.2006,17
Mostly Cloudy,16.18888889,18.4.2006,18
Mostly Cloudy,14.88333333,18.4.2006,19
Mostly Cloudy,14.32777778,18.4.2006,20
Overcast,14.51111111,18.4.2006,21
Overcast,14.37222222,18.4.2006,22
Overcast,14.87777778,18.4.2006,23
Foggy,10.40555556,19.4.2006,0
Overcast,12.82222222,19.4.2006,1
Overcast,12.8,19.4.2006,2
Overcast,12.82777778,19.4.2006,3
Overcast,12.26666667,19.4.2006,4
Overcast,12.26666667,19.4.2006,5
Mostly Cloudy,12.18333333,19.4.2006,6
Overcast,12.17222222,19.4.2006,7
Overcast,12.71111111,19.4.2006,8
Mostly Cloudy,15.60555556,19.4.2006,9
Mostly Cloudy,16.02222222,19.4.2006,10
Mostly Cloudy,17.2,19.4.2006,11
Overcast,17.21666667,19.4.2006,12
Mostly Cloudy,17.82777778,19.4.2006,13
Mostly Cloudy,17.82777778,19.4.2006,14
Partly Cloudy,17.73333333,19.4.2006,15
Mostly Cloudy,16.27222222,19.4.2006,16
Overcast,13.16666667,19.4.2006,17
Overcast,13.25555556,19.4.2006,18
Overcast,13.01111111,19.4.2006,19
Mostly Cloudy,12.45555556,19.4.2006,20
Mostly Cloudy,12.48888889,19.4.2006,21
Mostly Cloudy,9.555555556,1.4.2006,22
Mostly Cloudy,10.62222222,1.4.2006,23
Partly Cloudy,8.722222222,2.4.2006,0
Mostly Cloudy,10.53333333,2.4.2006,1
Mostly Cloudy,9.444444444,2.4.2006,2
Mostly Cloudy,9.888888889,2.4.2006,3
Mostly Cloudy,10.36666667,2.4.2006,4
Partly Cloudy,8.888888889,2.4.2006,5
Partly Cloudy,9.977777778,2.4.2006,6
Mostly Cloudy,12.2,2.4.2006,7
Mostly Cloudy,13.96111111,2.4.2006,8
Mostly Cloudy,14.94444444,2.4.2006,9
Mostly Cloudy,16.18333333,2.4.2006,10
Partly Cloudy,16.36666667,2.4.2006,11
Partly Cloudy,17.37222222,2.4.2006,12
Partly Cloudy,17.67222222,2.4.2006,13
Partly Cloudy,17.72222222,2.4.2006,14
Partly Cloudy,16.23888889,2.4.2006,15
Mostly Cloudy,14.06666667,2.4.2006,16
Partly Cloudy,13.95555556,2.4.2006,17
Partly Cloudy,12.28888889,2.4.2006,18
Partly Cloudy,10.02222222,2.4.2006,19
Partly Cloudy,9.377777778,2.4.2006,20
Partly Cloudy,9.416666667,2.4.2006,21
Partly Cloudy,11.82777778,19.4.2006,22
Foggy,10.76111111,19.4.2006,23
Mostly Cloudy,12.15555556,20.4.2006,0
Foggy,9.672222222,20.4.2006,1
Foggy,8.15,20.4.2006,2
Foggy,10.2,20.4.2006,3
Foggy,10.11666667,20.4.2006,4
Foggy,10.16111111,20.4.2006,5
Foggy,11.24444444,20.4.2006,6
Foggy,12.24444444,20.4.2006,7
Overcast,13.91111111,20.4.2006,8
Partly Cloudy,15.61666667,20.4.2006,9
Partly Cloudy,15.07222222,20.4.2006,10
Partly Cloudy,15.07222222,20.4.2006,11
Overcast,14.26666667,20.4.2006,12
Mostly Cloudy,16.01666667,20.4.2006,13
Overcast,15.02777778,20.4.2006,14
Overcast,13.94444444,20.4.2006,15
Overcast,12.91666667,20.4.2006,16
Overcast,12.89444444,20.4.2006,17
Overcast,12.4,20.4.2006,18
Clear,12.26666667,20.4.2006,19
Mostly Cloudy,12.22222222,20.4.2006,20
Mostly Cloudy,11.25,20.4.2006,21
Mostly Cloudy,11.52777778,20.4.2006,22
Foggy,11.53888889,20.4.2006,23
Foggy,9.438888889,21.4.2006,0
Overcast,11.43888889,21.4.2006,1
Overcast,11.39444444,21.4.2006,2
Overcast,11.52777778,21.4.2006,3
Foggy,11.95,21.4.2006,4
Foggy,11.97222222,21.4.2006,5
Foggy,12.63333333,21.4.2006,6
Overcast,12.75555556,21.4.2006,7
Overcast,13.84444444,21.4.2006,8
Overcast,13.17222222,21.4.2006,9
Mostly Cloudy,15.06666667,21.4.2006,10
Partly Cloudy,17.24444444,21.4.2006,11
Partly Cloudy,16.31666667,21.4.2006,12
Partly Cloudy,17.38333333,21.4.2006,13
Mostly Cloudy,15.27222222,21.4.2006,14
Partly Cloudy,17.45555556,21.4.2006,15
Partly Cloudy,16.22222222,21.4.2006,16
Partly Cloudy,15.08333333,21.4.2006,17
Partly Cloudy,13.99444444,21.4.2006,18
Partly Cloudy,12.17222222,21.4.2006,19
Foggy,11.08888889,21.4.2006,20
Foggy,11.09444444,21.4.2006,21
Foggy,9.883333333,21.4.2006,22
Clear,9.355555556,21.4.2006,23
Clear,9.861111111,22.4.2006,0
Foggy,8.272222222,22.4.2006,1
Foggy,8.866666667,22.4.2006,2
Foggy,8.816666667,22.4.2006,3
Foggy,7.155555556,22.4.2006,4
Foggy,8.85,22.4.2006,5
Foggy,11.17777778,22.4.2006,6
Mostly Cloudy,12.38888889,22.4.2006,7
Mostly Cloudy,14.14444444,22.4.2006,8
Partly Cloudy,17.1,22.4.2006,9
Partly Cloudy,18.93888889,22.4.2006,10
Partly Cloudy,17.91666667,22.4.2006,11
Partly Cloudy,19.98333333,22.4.2006,12
Partly Cloudy,20.07222222,22.4.2006,13
Partly Cloudy,20.07222222,22.4.2006,14
Partly Cloudy,20.08333333,22.4.2006,15
Partly Cloudy,19.08888889,22.4.2006,16
Partly Cloudy,17.45,22.4.2006,17
Partly Cloudy,15.56666667,22.4.2006,18
Clear,12.49444444,22.4.2006,19
Clear,12.24444444,22.4.2006,20
Clear,11.41666667,22.4.2006,21
Clear,10.55555556,22.4.2006,22
Clear,10.46666667,22.4.2006,23
Partly Cloudy,10.25,23.4.2006,0
Clear,9.355555556,23.4.2006,1
Foggy,8.311111111,23.4.2006,2
Foggy,8.811111111,23.4.2006,3
Foggy,8.733333333,23.4.2006,4
Partly Cloudy,11.93333333,23.4.2006,5
Partly Cloudy,14.51666667,23.4.2006,6
Partly Cloudy,18.73333333,23.4.2006,7
Partly Cloudy,20.02777778,23.4.2006,8
Partly Cloudy,21.03888889,23.4.2006,9
Partly Cloudy,20.73888889,23.4.2006,10
Partly Cloudy,22.31666667,23.4.2006,11
Partly Cloudy,22.11111111,23.4.2006,12
Partly Cloudy,22.73333333,23.4.2006,13
Partly Cloudy,22.77777778,23.4.2006,14
Partly Cloudy,21.21666667,23.4.2006,15
Partly Cloudy,20.18333333,23.4.2006,16
Partly Cloudy,18.01111111,23.4.2006,17
Partly Cloudy,17.42222222,23.4.2006,18
Partly Cloudy,13.96111111,23.4.2006,19
Partly Cloudy,13.28888889,23.4.2006,20
Partly Cloudy,12.32222222,23.4.2006,21
Partly Cloudy,11.11666667,23.4.2006,22
Partly Cloudy,10.53333333,23.4.2006,23
Clear,12.38333333,24.4.2006,0
Partly Cloudy,9.861111111,24.4.2006,1
Partly Cloudy,8.872222222,24.4.2006,2
Partly Cloudy,8.672222222,24.4.2006,3
Foggy,7.688888889,24.4.2006,4
Clear,10.91111111,24.4.2006,5
Clear,14.83888889,24.4.2006,6
Clear,18.8,24.4.2006,7
Clear,21.09444444,24.4.2006,8
Partly Cloudy,22.02777778,24.4.2006,9
Partly Cloudy,22.82777778,24.4.2006,10
Partly Cloudy,22.91666667,24.4.2006,11
Partly Cloudy,23.91666667,24.4.2006,12
Partly Cloudy,23.91111111,24.4.2006,13
Partly Cloudy,23.93333333,24.4.2006,14
Partly Cloudy,23.91666667,24.4.2006,15
Partly Cloudy,22.82222222,24.4.2006,16
Partly Cloudy,21.22777778,24.4.2006,17
Partly Cloudy,19.07777778,24.4.2006,18
Partly Cloudy,17.06111111,24.4.2006,19
Clear,14.90555556,24.4.2006,20
Clear,13.08333333,24.4.2006,21
Clear,12.71111111,24.4.2006,22
Clear,12.12777778,24.4.2006,23
Clear,11.81111111,25.4.2006,0
Clear,12.01666667,25.4.2006,1
Clear,12.04444444,25.4.2006,2
Partly Cloudy,10.62777778,25.4.2006,3
Clear,9.911111111,25.4.2006,4
Mostly Cloudy,12.55555556,25.4.2006,5
Partly Cloudy,15.00555556,25.4.2006,6
Partly Cloudy,17.33888889,25.4.2006,7
Partly Cloudy,19.1,25.4.2006,8
Partly Cloudy,21.26111111,25.4.2006,9
Partly Cloudy,22.41111111,25.4.2006,10
Mostly Cloudy,22.93888889,25.4.2006,11
Mostly Cloudy,23.92777778,25.4.2006,12
Mostly Cloudy,23.96111111,25.4.2006,13
Mostly Cloudy,23.96111111,25.4.2006,14
Mostly Cloudy,23.11111111,25.4.2006,15
Mostly Cloudy,22.82222222,25.4.2006,16
Mostly Cloudy,21.11111111,25.4.2006,17
Mostly Cloudy,18.18888889,25.4.2006,18
Mostly Cloudy,16.01666667,25.4.2006,19
Partly Cloudy,15.46666667,25.4.2006,20
Partly Cloudy,14.60555556,25.4.2006,21
Clear,13.31111111,25.4.2006,22
Clear,12.73333333,25.4.2006,23
Partly Cloudy,13.78888889,26.4.2006,0
Partly Cloudy,10.57777778,26.4.2006,1
Partly Cloudy,10.48333333,26.4.2006,2
Partly Cloudy,10.28888889,26.4.2006,3
Clear,9.972222222,26.4.2006,4
Mostly Cloudy,13.63888889,26.4.2006,5
Mostly Cloudy,16.73888889,26.4.2006,6
Mostly Cloudy,18.83888889,26.4.2006,7
Mostly Cloudy,21.16111111,26.4.2006,8
Mostly Cloudy,22.58888889,26.4.2006,9
Mostly Cloudy,22.89444444,26.4.2006,10
Mostly Cloudy,24.00555556,26.4.2006,11
Mostly Cloudy,24.00555556,26.4.2006,12
Mostly Cloudy,23.97777778,26.4.2006,13
Mostly Cloudy,25.04444444,26.4.2006,14
Mostly Cloudy,24.07777778,26.4.2006,15
Mostly Cloudy,22.38333333,26.4.2006,16
Mostly Cloudy,21.20555556,26.4.2006,17
Mostly Cloudy,18.26111111,26.4.2006,18
Mostly Cloudy,17.2,26.4.2006,19
Partly Cloudy,15.99444444,26.4.2006,20
Clear,15.96111111,26.4.2006,21
Mostly Cloudy,15.44444444,26.4.2006,22
Partly Cloudy,14.37222222,26.4.2006,23
Mostly Cloudy,13.60555556,27.4.2006,0
Partly Cloudy,12.82222222,27.4.2006,1
Partly Cloudy,12.75,27.4.2006,2
Partly Cloudy,11.41666667,27.4.2006,3
Partly Cloudy,12.33333333,27.4.2006,4
Mostly Cloudy,14.90555556,27.4.2006,5
Mostly Cloudy,15.89444444,27.4.2006,6
Mostly Cloudy,17.22777778,27.4.2006,7
Mostly Cloudy,17.82777778,27.4.2006,8
Mostly Cloudy,17.91666667,27.4.2006,9
Mostly Cloudy,19.05555556,27.4.2006,10
Mostly Cloudy,20.14444444,27.4.2006,11
Mostly Cloudy,20.26111111,27.4.2006,12
Mostly Cloudy,21.20555556,27.4.2006,13
Overcast,21.25555556,27.4.2006,14
Overcast,20.23333333,27.4.2006,15
Overcast,19.07777778,27.4.2006,16
Mostly Cloudy,17.94444444,27.4.2006,17
Mostly Cloudy,15.49444444,27.4.2006,18
Mostly Cloudy,14.14444444,27.4.2006,19
Mostly Cloudy,14.53888889,27.4.2006,20
Mostly Cloudy,14.13888889,27.4.2006,21
Mostly Cloudy,13.4,27.4.2006,22
Mostly Cloudy,13.42777778,27.4.2006,23
Partly Cloudy,11.58888889,28.4.2006,0
Mostly Cloudy,14.42222222,28.4.2006,1
Mostly Cloudy,13.91666667,28.4.2006,2
Mostly Cloudy,13.4,28.4.2006,3
Overcast,13.86666667,28.4.2006,4
Mostly Cloudy,14.90555556,28.4.2006,5
Mostly Cloudy,15.93333333,28.4.2006,6
Mostly Cloudy,17.12777778,28.4.2006,7
Mostly Cloudy,18.75,28.4.2006,8
Mostly Cloudy,18.96111111,28.4.2006,9
Mostly Cloudy,19.99444444,28.4.2006,10
Mostly Cloudy,21.11111111,28.4.2006,11
Mostly Cloudy,21.09444444,28.4.2006,12
Partly Cloudy,21.17777778,28.4.2006,13
Partly Cloudy,21.22777778,28.4.2006,14
Partly Cloudy,20.1,28.4.2006,15
Mostly Cloudy,19.02777778,28.4.2006,16
Mostly Cloudy,17.85,28.4.2006,17
Mostly Cloudy,16.26111111,28.4.2006,18
Partly Cloudy,14.98333333,28.4.2006,19
Mostly Cloudy,14.46666667,28.4.2006,20
Partly Cloudy,13.94444444,28.4.2006,21
Partly Cloudy,12.31666667,28.4.2006,22
Partly Cloudy,11.76111111,28.4.2006,23
Mostly Cloudy,10.82777778,29.4.2006,0
Partly Cloudy,10.13888889,29.4.2006,1
Partly Cloudy,10.62777778,29.4.2006,2
Partly Cloudy,10.60555556,29.4.2006,3
Mostly Cloudy,10.07222222,29.4.2006,4
Mostly Cloudy,11.16111111,29.4.2006,5
Partly Cloudy,12.88888889,29.4.2006,6
Clear,15.05,29.4.2006,7
Mostly Cloudy,15.16111111,29.4.2006,8
Mostly Cloudy,16.27222222,29.4.2006,9
Mostly Cloudy,17.8,29.4.2006,10
Mostly Cloudy,17.93888889,29.4.2006,11
Mostly Cloudy,18.85555556,29.4.2006,12
Mostly Cloudy,17.98888889,29.4.2006,13
Mostly Cloudy,17.96111111,29.4.2006,14
Mostly Cloudy,17.36111111,29.4.2006,15
Mostly Cloudy,16.25,29.4.2006,16
Mostly Cloudy,14.12222222,29.4.2006,17
Mostly Cloudy,12.95,29.4.2006,18
Mostly Cloudy,12.24444444,29.4.2006,19
Mostly Cloudy,11.68888889,29.4.2006,20
Mostly Cloudy,11.15555556,29.4.2006,21
Partly Cloudy,9.216666667,2.4.2006,22
Partly Cloudy,8.683333333,2.4.2006,23
Mostly Cloudy,9.188888889,3.4.2006,0
Partly Cloudy,8.594444444,3.4.2006,1
Partly Cloudy,7.505555556,3.4.2006,2
Partly Cloudy,6.216666667,3.4.2006,3
Foggy,5.855555556,3.4.2006,4
Clear,5.933333333,3.4.2006,5
Clear,10.40555556,3.4.2006,6
Partly Cloudy,12.54444444,3.4.2006,7
Partly Cloudy,13.86111111,3.4.2006,8
Partly Cloudy,15.97777778,3.4.2006,9
Partly Cloudy,17.26666667,3.4.2006,10
Partly Cloudy,17.84444444,3.4.2006,11
Partly Cloudy,16.42777778,3.4.2006,12
Partly Cloudy,17.77777778,3.4.2006,13
Partly Cloudy,17.84444444,3.4.2006,14
Partly Cloudy,17.3,3.4.2006,15
Partly Cloudy,15.18333333,3.4.2006,16
Mostly Cloudy,13.00555556,3.4.2006,17
Mostly Cloudy,12.69444444,3.4.2006,18
Partly Cloudy,12.19444444,3.4.2006,19
Partly Cloudy,12.08333333,3.4.2006,20
Partly Cloudy,10.61666667,3.4.2006,21
Mostly Cloudy,11.6,29.4.2006,22
Mostly Cloudy,11.02222222,29.4.2006,23
Mostly Cloudy,11.88888889,30.4.2006,0
Mostly Cloudy,10.41666667,30.4.2006,1
Mostly Cloudy,10.3,30.4.2006,2
Mostly Cloudy,9.483333333,30.4.2006,3
Mostly Cloudy,9.772222222,30.4.2006,4
Mostly Cloudy,10.93333333,30.4.2006,5
Mostly Cloudy,11.65555556,30.4.2006,6
Mostly Cloudy,13.93888889,30.4.2006,7
Mostly Cloudy,15.02777778,30.4.2006,8
Mostly Cloudy,16.03888889,30.4.2006,9
Mostly Cloudy,15.22777778,30.4.2006,10
Mostly Cloudy,16.20555556,30.4.2006,11
Partly Cloudy,17.3,30.4.2006,12
Partly Cloudy,17.77777778,30.4.2006,13
Partly Cloudy,17.8,30.4.2006,14
Partly Cloudy,17.26111111,30.4.2006,15
Mostly Cloudy,17.2,30.4.2006,16
Mostly Cloudy,15.02222222,30.4.2006,17
Mostly Cloudy,13.92777778,30.4.2006,18
Mostly Cloudy,12.36666667,30.4.2006,19
Mostly Cloudy,12.29444444,30.4.2006,20
Mostly Cloudy,12.78888889,30.4.2006,21
Partly Cloudy,9.533333333,3.4.2006,22
Mostly Cloudy,9.972222222,3.4.2006,23
Partly Cloudy,4.911111111,4.4.2006,0
Partly Cloudy,7.916666667,4.4.2006,1
Partly Cloudy,7.383333333,4.4.2006,2
Mostly Cloudy,7.972222222,4.4.2006,3
Overcast,8.816666667,4.4.2006,4
Mostly Cloudy,8.794444444,4.4.2006,5
Overcast,7.888888889,4.4.2006,6
Overcast,7.8,4.4.2006,7
Overcast,7.822222222,4.4.2006,8
Overcast,7.944444444,4.4.2006,9
Overcast,8.077777778,4.4.2006,10
Overcast,10.22777778,4.4.2006,11
Overcast,11.36111111,4.4.2006,12
Mostly Cloudy,12.45,4.4.2006,13
Partly Cloudy,12.91666667,4.4.2006,14
Partly Cloudy,12.55,4.4.2006,15
Partly Cloudy,12.38333333,4.4.2006,16
Partly Cloudy,10.22777778,4.4.2006,17
Partly Cloudy,9.227777778,4.4.2006,18
Clear,7.827777778,4.4.2006,19
Clear,6.677777778,4.4.2006,20
Clear,6.122222222,4.4.2006,21
Partly Cloudy,5.327777778,4.4.2006,22
Clear,4.355555556,4.4.2006,23
Mostly Cloudy,9.272222222,5.4.2006,0
Partly Cloudy,4.261111111,5.4.2006,1
Partly Cloudy,3.216666667,5.4.2006,2
Partly Cloudy,3.905555556,5.4.2006,3
Foggy,2.711111111,5.4.2006,4
Foggy,3.816666667,5.4.2006,5
Clear,6.883333333,5.4.2006,6
Mostly Cloudy,8.938888889,5.4.2006,7
Mostly Cloudy,11.20555556,5.4.2006,8
Mostly Cloudy,12.85,5.4.2006,9
