Date,Sales,Target_sales,Total_expenses
12.4.2013,96,80,24
13.4.2013,185,90,46
14.4.2013,128,80,53
15.4.2013,126,80,37
16.4.2013,70,70,19
17.4.2013,199,80,32
18.4.2013,54,70,19
19.4.2013,62,70,17
20.4.2013,189,90,64
21.4.2013,151,80,42
22.4.2013,120,70,37
23.4.2013,153,90,84
24.4.2013,169,70,42
25.4.2013,98,80,25
26.4.2013,94,80,22
27.4.2013,132,90,54
28.4.2013,98,80,25
29.4.2013,75,70,19
30.4.2013,83,80,19
1.5.2013,85,80,19
2.5.2013,131,80,26
3.5.2013,46,50,12
4.5.2013,130,140,48
5.5.2013,60,70,18
6.5.2013,113,80,69
7.5.2013,79,80,45
8.5.2013,113,90,70
9.5.2013,83,70,20
10.5.2013,160,100,43
11.5.2013,128,90,38
12.5.2013,128,80,37
13.5.2013,106,90,27
14.5.2013,108,90,36
15.5.2013,106,90,72
16.5.2013,106,90,27
17.5.2013,106,90,27
18.5.2013,110,80,51
19.5.2013,124,90,37
20.5.2013,87,80,20
21.5.2013,91,80,21
22.5.2013,46,50,11
23.5.2013,113,80,36
24.5.2013,74,80,30
25.5.2013,62,70,18
26.5.2013,114,80,35
27.5.2013,110,90,51
28.5.2013,113,80,35
29.5.2013,87,80,21
30.5.2013,126,80,73
31.5.2013,140,90,79
1.6.2013,90,60,24
2.6.2013,90,60,25
3.6.2013,109,150,49
4.6.2013,113,60,37
5.6.2013,68,60,30
6.6.2013,109,60,70
7.6.2013,79,60,19
8.6.2013,68,50,31
9.6.2013,92,60,40
10.6.2013,60,60,18
11.6.2013,43,40,11
12.6.2013,109,50,70
13.6.2013,144,60,84
14.6.2013,80,70,19
15.6.2013,121,80,54
16.6.2013,52,60,19
17.6.2013,82,60,39
18.6.2013,64,70,30
19.6.2013,64,60,30
20.6.2013,76,70,45
21.6.2013,80,60,19
22.6.2013,43,40,12
23.6.2013,81,70,21
24.6.2013,122,110,49
25.6.2013,122,110,48
26.6.2013,82,60,38
27.6.2013,76,60,45
28.6.2013,74,60,45
29.6.2013,43,40,11
30.6.2013,106,70,69
1.7.2013,73,60,19
2.7.2013,82,70,20
3.7.2013,103,70,50
4.7.2013,75,70,19
5.7.2013,73,70,19
6.7.2013,56,70,19
7.7.2013,43,40,12
8.7.2013,77,70,20
9.7.2013,85,70,21
10.7.2013,88,60,47
11.7.2013,69,60,31
12.7.2013,89,70,40
13.7.2013,88,70,47
14.7.2013,43,40,11
15.7.2013,107,70,36
16.7.2013,89,60,39
17.7.2013,106,70,35
18.7.2013,96,60,24
19.7.2013,96,60,25
20.7.2013,116,150,49
21.7.2013,120,60,37
22.7.2013,72,60,30
23.7.2013,116,60,70
24.7.2013,84,60,19
25.7.2013,72,50,31
26.7.2013,98,60,40
27.7.2013,64,60,18
28.7.2013,46,40,11
29.7.2013,116,50,70
30.7.2013,153,60,84
31.7.2013,85,70,19
1.8.2013,129,80,54
2.8.2013,55,60,19
3.8.2013,87,60,39
4.8.2013,68,70,30
5.8.2013,68,60,30
6.8.2013,81,70,45
7.8.2013,85,60,19
8.8.2013,46,40,12
9.8.2013,86,70,21
10.8.2013,130,110,49
11.8.2013,130,110,48
12.8.2013,87,60,38
13.8.2013,81,60,45
14.8.2013,79,60,45
15.8.2013,46,40,11
16.8.2013,113,70,69
17.8.2013,78,60,19
18.8.2013,87,70,20
19.8.2013,110,70,50
20.8.2013,80,70,19
21.8.2013,78,70,19
22.8.2013,60,70,19
23.8.2013,46,40,12
24.8.2013,82,70,20
25.8.2013,91,70,21
26.8.2013,94,60,47
27.8.2013,74,60,31
28.8.2013,95,70,40
29.8.2013,94,70,47
30.8.2013,46,40,11
31.8.2013,114,70,36
1.9.2013,95,60,39
2.9.2013,113,70,35
3.9.2013,122,110,76
4.9.2013,123,110,45
5.9.2013,107,100,36
6.9.2013,116,100,76
7.9.2013,182,110,55
8.9.2013,118,120,24
9.9.2013,159,100,41
10.9.2013,123,100,44
11.9.2013,126,110,54
12.9.2013,126,110,54
13.9.2013,114,90,46
14.9.2013,125,120,76
15.9.2013,114,110,36
16.9.2013,125,110,77
17.9.2013,138,120,47
18.9.2013,138,120,47
19.9.2013,123,120,26
20.9.2013,124,120,45
21.9.2013,132,120,26
22.9.2013,109,120,46
23.9.2013,147,110,85
24.9.2013,124,120,53
25.9.2013,184,130,64
26.9.2013,147,120,84
27.9.2013,141,100,39
28.9.2013,112,110,71
29.9.2013,127,120,44
30.9.2013,168,120,54
1.10.2013,133,110,26
2.10.2013,139,130,40
3.10.2013,114,110,44
4.10.2013,123,110,26
5.10.2013,127,110,38
6.10.2013,131,120,78
7.10.2013,118,110,73
8.10.2013,98,110,56
9.10.2013,127,120,45
10.10.2013,145,130,58
11.10.2013,127,110,39
12.10.2013,122,110,46
13.10.2013,120,110,25
14.10.2013,123,120,26
15.10.2013,130,110,76
16.10.2013,131,110,45
17.10.2013,114,100,36
18.10.2013,124,100,76
19.10.2013,194,110,55
20.10.2013,126,120,24
21.10.2013,169,100,41
22.10.2013,131,100,44
23.10.2013,134,110,54
24.10.2013,134,110,54
25.10.2013,121,90,46
26.10.2013,133,120,76
27.10.2013,121,110,36
28.10.2013,133,110,77
29.10.2013,147,120,47
30.10.2013,147,120,47
31.10.2013,131,120,26
1.11.2013,132,120,45
2.11.2013,141,120,26
3.11.2013,116,120,46
4.11.2013,157,110,85
5.11.2013,132,120,53
6.11.2013,196,130,64
7.11.2013,157,120,84
8.11.2013,150,100,39
9.11.2013,119,110,71
10.11.2013,135,120,44
11.11.2013,179,120,54
12.11.2013,142,110,26
13.11.2013,148,130,40
14.11.2013,121,110,44
15.11.2013,131,110,26
16.11.2013,135,110,38
17.11.2013,140,120,78
18.11.2013,126,110,73
19.11.2013,104,110,56
20.11.2013,135,120,45
21.11.2013,155,130,58
22.11.2013,135,110,39
23.11.2013,130,110,46
24.11.2013,128,110,25
25.11.2013,131,120,26
26.11.2013,53,30,16
27.11.2013,66,40,19
28.11.2013,126,60,54
29.11.2013,120,60,53
30.11.2013,53,50,17
1.12.2013,92,50,39
2.12.2013,58,40,18
3.12.2013,52,40,16
4.12.2013,56,40,43
5.12.2013,53,30,17
6.12.2013,43,30,11
7.12.2013,77,40,46
8.12.2013,52,40,17
9.12.2013,61,40,19
10.12.2013,77,40,46
11.12.2013,52,50,17
12.12.2013,92,40,39
13.12.2013,113,50,36
14.12.2013,56,50,17
15.12.2013,76,50,46
16.12.2013,52,50,19
17.12.2013,74,50,45
18.12.2013,64,50,30
19.12.2013,63,50,19
20.12.2013,39,40,16
21.12.2013,80,50,20
22.12.2013,82,50,38
23.12.2013,76,50,45
24.12.2013,56,40,20
25.12.2013,89,60,39
26.12.2013,58,50,18
27.12.2013,41,40,15
28.12.2013,69,60,30
29.12.2013,45,40,41
30.12.2013,73,50,20
31.12.2013,56,50,19
1.1.2014,60,50,17
2.1.2014,41,40,15
3.1.2014,73,50,19
4.1.2014,56,30,16
5.1.2014,70,40,19
6.1.2014,134,60,54
7.1.2014,128,60,53
8.1.2014,56,50,17
9.1.2014,98,50,39
10.1.2014,62,40,18
11.1.2014,55,40,16
12.1.2014,60,40,43
13.1.2014,56,30,17
14.1.2014,46,30,11
15.1.2014,82,40,46
16.1.2014,55,40,17
17.1.2014,65,40,19
18.1.2014,82,40,46
19.1.2014,55,50,17
20.1.2014,98,40,39
21.1.2014,120,50,36
22.1.2014,60,50,17
23.1.2014,81,50,46
24.1.2014,55,50,19
25.1.2014,79,50,45
26.1.2014,68,50,30
27.1.2014,67,50,19
28.1.2014,42,40,16
29.1.2014,85,50,20
30.1.2014,87,50,38
31.1.2014,81,50,45
1.2.2014,60,40,20
2.2.2014,95,60,39
3.2.2014,62,50,18
4.2.2014,44,40,15
5.2.2014,74,60,30
6.2.2014,48,40,41
7.2.2014,78,50,20
8.2.2014,60,50,19
9.2.2014,64,50,17
10.2.2014,44,40,15
11.2.2014,78,50,19
12.2.2014,187,120,33
13.2.2014,123,110,45
14.2.2014,187,130,33
15.2.2014,182,130,55
16.2.2014,142,130,42
17.2.2014,79,110,19
18.2.2014,205,130,58
19.2.2014,126,120,55
20.2.2014,218,130,51
21.2.2014,159,120,42
22.2.2014,124,150,53
23.2.2014,138,130,46
24.2.2014,189,130,55
25.2.2014,150,140,43
26.2.2014,114,130,36
27.2.2014,164,150,44
28.2.2014,147,140,84
1.3.2014,115,130,24
2.3.2014,125,140,77
3.3.2014,124,140,44
4.3.2014,138,130,46
5.3.2014,141,130,40
6.3.2014,132,130,27
7.3.2014,103,130,51
8.3.2014,168,130,54
9.3.2014,133,130,27
10.3.2014,168,120,54
11.3.2014,101,120,35
12.3.2014,145,140,58
13.3.2014,112,130,72
14.3.2014,114,130,44
15.3.2014,145,140,57
16.3.2014,153,140,59
17.3.2014,199,120,33
18.3.2014,131,110,45
19.3.2014,199,130,33
20.3.2014,194,130,55
21.3.2014,151,130,42
22.3.2014,84,110,19
23.3.2014,218,130,58
24.3.2014,134,120,55
25.3.2014,232,130,51
26.3.2014,169,120,42
27.3.2014,132,150,53
28.3.2014,147,130,46
29.3.2014,201,130,55
30.3.2014,160,140,43
31.3.2014,121,130,36
1.4.2014,175,150,44
2.4.2014,157,140,84
3.4.2014,123,130,24
4.4.2014,133,140,77
5.4.2014,132,140,44
6.4.2014,147,130,46
7.4.2014,150,130,40
8.4.2014,141,130,27
9.4.2014,110,130,51
10.4.2014,179,130,54
11.4.2014,142,130,27
12.4.2014,179,120,54
13.4.2014,108,120,35
14.4.2014,155,140,58
15.4.2014,119,130,72
16.4.2014,121,130,44
17.4.2014,155,140,57
18.4.2014,163,140,59
19.4.2014,90,130,25
20.4.2014,520,770,96
21.4.2014,302,190,46
22.4.2014,118,160,25
23.4.2014,119,160,24
24.4.2014,114,160,46
25.4.2014,205,290,41
26.4.2014,56,30,43
27.4.2014,236,210,46
28.4.2014,177,150,64
29.4.2014,230,200,117
30.4.2014,490,580,91
1.5.2014,189,140,55
2.5.2014,290,220,45
3.5.2014,197,150,57
4.5.2014,200,230,41
5.5.2014,245,180,54
6.5.2014,231,210,45
7.5.2014,39,30,15
8.5.2014,184,170,64
9.5.2014,224,200,115
10.5.2014,525,620,96
11.5.2014,302,230,46
12.5.2014,160,190,52
13.5.2014,221,170,61
14.5.2014,120,140,25
15.5.2014,122,140,47
16.5.2014,185,220,38
17.5.2014,45,30,40
18.5.2014,320,240,65
19.5.2014,214,190,43
20.5.2014,41,30,16
21.5.2014,250,230,125
22.5.2014,96,130,25
23.5.2014,554,770,96
24.5.2014,322,190,46
25.5.2014,126,160,25
26.5.2014,127,160,24
27.5.2014,121,160,46
28.5.2014,218,290,41
29.5.2014,60,30,43
30.5.2014,251,210,46
31.5.2014,189,150,64
1.6.2014,245,200,117
2.6.2014,522,580,91
3.6.2014,201,140,55
4.6.2014,309,220,45
5.6.2014,210,150,57
6.6.2014,213,230,41
7.6.2014,261,180,54
8.6.2014,246,210,45
9.6.2014,42,30,15
10.6.2014,196,170,64
11.6.2014,239,200,115
12.6.2014,559,620,96
13.6.2014,322,230,46
14.6.2014,171,190,52
15.6.2014,236,170,61
16.6.2014,128,140,25
17.6.2014,130,140,47
18.6.2014,197,220,38
19.6.2014,48,30,40
20.6.2014,341,240,65
21.6.2014,228,190,43
22.6.2014,44,30,16
23.6.2014,266,230,125
24.6.2014,313,260,73
25.6.2014,144,130,83
26.6.2014,325,290,73
27.6.2014,289,260,69
28.6.2014,334,260,73
29.6.2014,153,130,83
30.6.2014,346,290,73
1.7.2014,308,260,69
2.7.2014,218,180,51
3.7.2014,202,180,56
4.7.2014,205,170,59
5.7.2014,474,400,54
6.7.2014,650,540,143
7.7.2014,230,210,116
8.7.2014,69,50,146
9.7.2014,322,300,69
10.7.2014,765,720,91
11.7.2014,51,20,19
12.7.2014,513,290,129
13.7.2014,164,80,95
14.7.2014,265,280,42
15.7.2014,302,320,45
16.7.2014,187,200,33
17.7.2014,245,220,54
18.7.2014,180,170,52
19.7.2014,197,170,56
20.7.2014,454,400,55
21.7.2014,623,560,138
22.7.2014,224,210,115
23.7.2014,61,50,142
24.7.2014,363,350,74
25.7.2014,675,660,83
26.7.2014,52,30,19
27.7.2014,576,420,127
28.7.2014,160,110,91
29.7.2014,198,200,33
30.7.2014,290,290,45
31.7.2014,320,280,64
1.8.2014,195,190,54
2.8.2014,221,190,60
3.8.2014,510,450,53
4.8.2014,699,620,149
5.8.2014,250,240,124
6.8.2014,66,60,155
7.8.2014,306,290,66
8.8.2014,657,640,95
9.8.2014,747,540,144
10.8.2014,148,100,96
11.8.2014,210,210,35
12.8.2014,302,310,46
13.8.2014,232,180,51
14.8.2014,215,180,56
15.8.2014,218,170,59
16.8.2014,505,400,54
17.8.2014,693,540,143
18.8.2014,245,210,116
19.8.2014,74,50,146
20.8.2014,343,300,69
21.8.2014,815,720,91
22.8.2014,54,20,19
23.8.2014,547,290,129
24.8.2014,175,80,95
25.8.2014,282,280,42
26.8.2014,322,320,45
27.8.2014,199,200,33
28.8.2014,261,220,54
29.8.2014,192,170,52
30.8.2014,210,170,56
31.8.2014,484,400,55
1.9.2014,664,560,138
2.9.2014,239,210,115
3.9.2014,65,50,142
4.9.2014,387,350,74
5.9.2014,719,660,83
6.9.2014,55,30,19
7.9.2014,614,420,127
8.9.2014,171,110,91
9.9.2014,211,200,33
10.9.2014,309,290,45
11.9.2014,341,280,64
12.9.2014,208,190,54
13.9.2014,236,190,60
14.9.2014,543,450,53
15.9.2014,745,620,149
16.9.2014,266,240,124
17.9.2014,70,60,155
18.9.2014,326,290,66
19.9.2014,700,640,95
20.9.2014,796,540,144
21.9.2014,158,100,96
22.9.2014,224,210,35
23.9.2014,322,310,46
24.9.2014,265,260,41
25.9.2014,298,300,61
26.9.2014,182,260,54
27.9.2014,478,710,90
28.9.2014,120,170,54
29.9.2014,302,300,46
30.9.2014,367,370,93
1.10.2014,187,280,32
2.10.2014,598,890,117
3.10.2014,322,470,69
4.10.2014,322,260,69
5.10.2014,302,240,46
6.10.2014,265,210,41
7.10.2014,205,140,58
8.10.2014,218,150,51
9.10.2014,205,140,41
10.10.2014,23,10,15
11.10.2014,202,200,55
12.10.2014,177,170,63
13.10.2014,230,230,116
14.10.2014,99,140,23
15.10.2014,174,250,46
16.10.2014,598,480,117
17.10.2014,298,240,62
18.10.2014,109,80,49
19.10.2014,478,340,90
20.10.2014,567,400,129
21.10.2014,56,30,42
22.10.2014,198,190,33
23.10.2014,278,270,59
24.10.2014,189,240,56
25.10.2014,423,540,83
26.10.2014,290,280,44
27.10.2014,412,400,100
28.10.2014,123,150,25
29.10.2014,532,680,108
30.10.2014,363,460,75
31.10.2014,363,330,75
1.11.2014,290,260,45
2.11.2014,198,180,33
3.11.2014,197,160,57
4.11.2014,189,150,55
5.11.2014,245,200,54
6.11.2014,200,160,42
7.11.2014,23,20,16
8.11.2014,180,170,52
9.11.2014,39,30,16
10.11.2014,184,180,64
11.11.2014,224,220,114
12.11.2014,132,160,27
13.11.2014,164,200,44
14.11.2014,532,490,108
15.11.2014,278,250,58
16.11.2014,423,350,83
17.11.2014,545,450,127
18.11.2014,210,200,36
19.11.2014,312,300,63
20.11.2014,168,210,54
21.11.2014,501,640,94
22.11.2014,302,290,45
23.11.2014,534,520,116
24.11.2014,133,170,26
25.11.2014,576,730,113
26.11.2014,306,390,66
27.11.2014,306,280,66
28.11.2014,302,280,46
29.11.2014,210,190,36
30.11.2014,221,180,61
1.12.2014,320,260,65
2.12.2014,185,150,38
3.12.2014,24,20,15
4.12.2014,195,190,55
5.12.2014,153,150,59
6.12.2014,250,240,125
7.12.2014,123,150,25
8.12.2014,176,220,46
9.12.2014,576,530,113
10.12.2014,312,290,62
11.12.2014,501,410,95
12.12.2014,654,540,144
13.12.2014,45,30,41
14.12.2014,282,260,41
15.12.2014,318,300,61
16.12.2014,194,260,54
17.12.2014,509,710,90
18.12.2014,128,170,54
19.12.2014,322,300,46
20.12.2014,391,370,93
21.12.2014,199,280,32
22.12.2014,637,890,117
23.12.2014,343,470,69
24.12.2014,343,260,69
25.12.2014,322,240,46
26.12.2014,282,210,41
27.12.2014,218,140,58
28.12.2014,232,150,51
29.12.2014,218,140,41
30.12.2014,25,10,15
31.12.2014,215,200,55
1.1.2015,189,170,63
2.1.2015,245,230,116
3.1.2015,106,140,23
4.1.2015,185,250,46
5.1.2015,637,480,117
6.1.2015,318,240,62
7.1.2015,116,80,49
8.1.2015,509,340,90
9.1.2015,604,400,129
10.1.2015,60,30,42
11.1.2015,211,190,33
12.1.2015,296,270,59
13.1.2015,201,240,56
14.1.2015,451,540,83
15.1.2015,309,280,44
16.1.2015,439,400,100
17.1.2015,131,150,25
18.1.2015,567,680,108
19.1.2015,387,460,75
20.1.2015,387,330,75
21.1.2015,309,260,45
22.1.2015,211,180,33
23.1.2015,210,160,57
24.1.2015,201,150,55
25.1.2015,261,200,54
26.1.2015,213,160,42
27.1.2015,25,20,16
28.1.2015,192,170,52
29.1.2015,42,30,16
30.1.2015,196,180,64
31.1.2015,239,220,114
1.2.2015,141,160,27
2.2.2015,175,200,44
3.2.2015,567,490,108
4.2.2015,296,250,58
5.2.2015,451,350,83
6.2.2015,581,450,127
7.2.2015,224,200,36
8.2.2015,332,300,63
9.2.2015,179,210,54
10.2.2015,534,640,94
11.2.2015,322,290,45
12.2.2015,569,520,116
13.2.2015,142,170,26
14.2.2015,614,730,113
15.2.2015,326,390,66
16.2.2015,326,280,66
17.2.2015,322,280,46
18.2.2015,224,190,36
19.2.2015,236,180,61
20.2.2015,341,260,65
21.2.2015,197,150,38
22.2.2015,26,20,15
23.2.2015,208,190,55
24.2.2015,163,150,59
25.2.2015,266,240,125
26.2.2015,131,150,25
27.2.2015,188,220,46
28.2.2015,614,530,113
1.3.2015,332,290,62
2.3.2015,534,410,95
3.3.2015,697,540,144
4.3.2015,48,30,41
5.3.2015,130,190,93
6.3.2015,598,550,116
7.3.2015,109,150,61
8.3.2015,650,960,143
9.3.2015,478,430,90
10.3.2015,298,270,146
11.3.2015,265,210,42
12.3.2015,520,410,95
13.3.2015,302,140,45
14.3.2015,107,150,35
15.3.2015,177,260,64
16.3.2015,230,330,117
17.3.2015,322,290,70
18.3.2015,174,150,46
19.3.2015,122,170,76
20.3.2015,142,200,41
21.3.2015,144,210,63
22.3.2015,111,150,42
23.3.2015,167,230,43
24.3.2015,51,30,19
25.3.2015,52,30,17
26.3.2015,236,210,46
27.3.2015,298,240,147
28.3.2015,313,250,73
29.3.2015,367,290,93
30.3.2015,205,160,42
31.3.2015,298,240,62
1.4.2015,109,80,50
2.4.2015,598,290,117
3.4.2015,53,20,16
4.4.2015,478,230,90
5.4.2015,21,0,129
6.4.2015,56,20,43
7.4.2015,146,170,100
8.4.2015,532,510,107
9.4.2015,116,130,59
10.4.2015,623,740,139
11.4.2015,423,410,83
12.4.2015,289,280,142
13.4.2015,198,180,33
14.4.2015,490,450,91
15.4.2015,290,210,44
16.4.2015,184,210,64
17.4.2015,224,260,114
18.4.2015,363,350,74
19.4.2015,150,170,42
20.4.2015,128,150,61
21.4.2015,156,180,43
22.4.2015,39,30,15
23.4.2015,231,220,45
24.4.2015,289,260,142
25.4.2015,325,300,73
26.4.2015,412,380,101
27.4.2015,200,180,42
28.4.2015,278,250,58
29.4.2015,532,380,108
30.4.2015,423,300,84
1.5.2015,197,140,57
2.5.2015,32,0,127
3.5.2015,245,170,54
4.5.2015,192,220,117
5.5.2015,576,550,113
6.5.2015,102,120,63
7.5.2015,699,830,149
8.5.2015,501,480,94
9.5.2015,322,310,156
10.5.2015,210,190,35
11.5.2015,525,480,96
12.5.2015,302,220,45
13.5.2015,153,180,59
14.5.2015,250,290,125
15.5.2015,306,290,66
16.5.2015,176,170,45
17.5.2015,139,160,40
18.5.2015,176,200,46
19.5.2015,41,30,15
20.5.2015,214,200,43
21.5.2015,322,290,155
22.5.2015,289,260,69
23.5.2015,534,490,116
24.5.2015,185,170,38
25.5.2015,312,290,63
26.5.2015,576,420,114
27.5.2015,501,360,94
28.5.2015,221,160,60
29.5.2015,31,0,145
30.5.2015,320,230,65
31.5.2015,45,30,40
1.6.2015,139,190,93
2.6.2015,637,550,116
3.6.2015,116,150,61
4.6.2015,693,960,143
5.6.2015,509,430,90
6.6.2015,318,270,146
7.6.2015,282,210,42
8.6.2015,554,410,95
9.6.2015,322,140,45
10.6.2015,114,150,35
11.6.2015,189,260,64
12.6.2015,245,330,117
13.6.2015,343,290,70
14.6.2015,185,150,46
15.6.2015,130,170,76
16.6.2015,151,200,41
17.6.2015,153,210,63
18.6.2015,118,150,42
19.6.2015,178,230,43
20.6.2015,54,30,19
21.6.2015,55,30,17
22.6.2015,251,210,46
23.6.2015,318,240,147
24.6.2015,334,250,73
25.6.2015,391,290,93
26.6.2015,218,160,42
27.6.2015,318,240,62
28.6.2015,116,80,50
29.6.2015,637,290,117
30.6.2015,56,20,16
1.7.2015,509,230,90
2.7.2015,22,0,129
3.7.2015,60,20,43
4.7.2015,156,170,100
5.7.2015,567,510,107
6.7.2015,124,130,59
7.7.2015,664,740,139
8.7.2015,451,410,83
9.7.2015,308,280,142
10.7.2015,211,180,33
11.7.2015,522,450,91
12.7.2015,309,210,44
13.7.2015,196,210,64
14.7.2015,239,260,114
15.7.2015,387,350,74
16.7.2015,160,170,42
17.7.2015,136,150,61
18.7.2015,166,180,43
19.7.2015,42,30,15
20.7.2015,246,220,45
21.7.2015,308,260,142
22.7.2015,346,300,73
23.7.2015,439,380,101
24.7.2015,213,180,42
25.7.2015,296,250,58
26.7.2015,567,380,108
27.7.2015,451,300,84
28.7.2015,210,140,57
29.7.2015,34,0,127
30.7.2015,261,170,54
31.7.2015,205,220,117
1.8.2015,614,550,113
2.8.2015,109,120,63
3.8.2015,745,830,149
4.8.2015,534,480,94
5.8.2015,343,310,156
6.8.2015,224,190,35
7.8.2015,559,480,96
8.8.2015,322,220,45
9.8.2015,163,180,59
10.8.2015,266,290,125
11.8.2015,326,290,66
12.8.2015,188,170,45
13.8.2015,148,160,40
14.8.2015,188,200,46
15.8.2015,44,30,15
16.8.2015,228,200,43
17.8.2015,343,290,155
18.8.2015,308,260,69
19.8.2015,569,490,116
20.8.2015,197,170,38
21.8.2015,332,290,63
22.8.2015,614,420,114
23.8.2015,534,360,94
24.8.2015,236,160,60
25.8.2015,33,0,145
26.8.2015,341,230,65
27.8.2015,48,30,40
