brand,category,material,delivery_days,inventory,cost,discount_percentage,price
LesComfe,Bed,Plastic,5,38,119.74,3.2,191.2
Furneyz,Bed,Wood,6,41,44.44,5.5,105.8
Furneyz,Table,Metal,7,155,150.76,10.2,180.39
Furneyz,Table,Fabric,3,28,61.46,16.3,122.55
Furneyz,Table,Plastic,5,170,280.42,21.4,468.36
Furneyz,Sofa,Plastic,8,130,329.42,6.3,475.7
Furneyz,Sofa,Fabric,4,137,209.9,20.2,385.29
Furneyz,Chair,Wood,2,186,239.1,21.1,442.16
Furneyz,Table,Metal,4,141,265.14,16.8,411.65
LesComfe,Chair,Wood,2,174,81.47,27.1,133.96
Ordinaer,Desk,Glass,3,41,378.07,3.3,451.65
Furneyz,Sofa,Plastic,4,93,183.04,5.3,
LesComfe,Bed,Glass,4,159,337.12,12.9,516.69
Furneyz,Desk,Plastic,9,31,388.31,3.8,453.24
Krude,Bed,Glass,6,169,130.06,17.0,241.38
Furneyz,Desk,Fabric,9,159,85.99,12.0,99.52
Ordinaer,Chair,Plastic,4,25,99.31,8.5,
LesComfe,Chair,Plastic,9,114,214.5,5.1,242.2
Krude,Sofa,Glass,9,128,223.99,10.1,480.82
Krude,Bed,Metal,6,55,338.85,18.2,546.66
Furneyz,Desk,Glass,5,121,37.06,17.3,53.13
Ordinaer,Table,Plastic,3,105,183.31,4.9,279.84
Ordinaer,Table,Plastic,5,129,179.11,3.7,237.83
Furneyz,Sofa,Metal,3,80,117.19,0.8,172.44
Furneyz,Bed,Wood,5,157,52.15,0.4,129.92
LesComfe,Table,Metal,5,119,114.45,26.4,201.93
LesComfe,Sofa,Wood,2,198,372.44,1.4,545.46
Furneyz,Sofa,Plastic,9,51,149.82,21.9,224.76
Furneyz,Bed,Fabric,7,90,251.26,26.2,354.32
Krude,Table,Fabric,6,136,294.7,2.9,366.36
Ordinaer,Table,Glass,5,21,188.06,13.1,213.63
LesComfe,Table,Metal,4,33,380.59,28.9,487.3
Furneyz,Chair,Metal,8,109,299.15,25.0,483.1
Furneyz,Table,Fabric,2,48,88.53,14.7,163.3
LesComfe,Desk,Wood,8,128,222.49,22.9,273.76
Krude,Chair,Metal,1,72,140.47,25.0,185.4
Krude,Chair,Wood,1,83,92.52,10.4,
Furneyz,Chair,Wood,3,52,42.89,26.8,
Ordinaer,Chair,Wood,5,99,286.27,14.1,324.3
Ordinaer,Sofa,Wood,6,123,193.39,15.8,317.64
Furneyz,Desk,Glass,4,167,49.25,30.0,
LesComfe,Bed,Glass,7,44,119.81,25.3,219.24
Ordinaer,Table,Fabric,7,195,267.69,10.9,458.72
LesComfe,Chair,Glass,2,136,102.17,0.3,157.8
LesComfe,Bed,Metal,2,104,74.64,18.8,144.0
LesComfe,Sofa,Glass,2,149,140.79,21.1,310.79
Krude,Bed,Metal,2,145,398.3,19.5,616.93
Ordinaer,Chair,Metal,9,105,105.94,29.0,158.92
Krude,Desk,Wood,5,42,292.15,25.9,352.46
Ordinaer,Bed,Fabric,8,166,329.95,13.5,490.91
Furneyz,Chair,Wood,5,133,91.78,1.9,156.94
LesComfe,Chair,Wood,5,47,288.16,14.3,377.7
Ordinaer,Table,Glass,1,125,148.46,20.7,215.5
Ordinaer,Table,Glass,6,6,285.05,18.2,334.54
Furneyz,Desk,Metal,4,196,196.46,16.1,335.09
Krude,Table,Glass,3,15,224.47,14.1,
Ordinaer,Desk,Glass,6,128,67.35,8.8,90.63
Ordinaer,Sofa,Plastic,2,114,263.25,8.3,489.77
Krude,Sofa,Metal,8,36,107.79,15.0,223.5
Krude,Table,Metal,1,164,101.88,4.8,133.93
Ordinaer,Sofa,Plastic,9,124,54.37,10.2,78.6
Krude,Bed,Metal,8,80,197.83,9.7,
Furneyz,Bed,Fabric,1,191,268.99,17.6,443.63
Furneyz,Bed,Fabric,9,61,37.81,2.0,71.83
LesComfe,Sofa,Plastic,2,71,220.23,24.9,322.51
Ordinaer,Bed,Glass,3,188,88.07,16.9,189.9
Furneyz,Desk,Fabric,2,124,291.35,20.1,340.33
Furneyz,Chair,Plastic,8,160,79.0,21.1,128.46
Furneyz,Table,Fabric,2,65,233.56,8.7,360.92
LesComfe,Desk,Wood,2,29,117.22,14.1,
Krude,Bed,Plastic,1,19,256.8,28.7,589.41
LesComfe,Chair,Metal,7,187,79.03,23.0,111.88
LesComfe,Table,Fabric,2,81,123.52,29.1,203.48
LesComfe,Desk,Metal,5,106,84.31,22.4,
LesComfe,Table,Plastic,5,151,235.8,5.3,466.11
Ordinaer,Sofa,Fabric,3,131,289.85,1.9,511.52
Ordinaer,Bed,Metal,3,36,105.45,17.3,207.59
Furneyz,Desk,Glass,3,131,176.18,10.7,346.99
LesComfe,Desk,Glass,6,76,229.66,8.3,417.75
LesComfe,Chair,Wood,4,88,199.53,24.2,299.84
Furneyz,Chair,Plastic,3,145,201.02,11.0,288.34
Krude,Chair,Metal,2,87,105.1,9.5,158.83
Ordinaer,Table,Wood,3,193,65.46,25.5,91.9
LesComfe,Bed,Plastic,4,175,334.89,25.4,567.18
Krude,Table,Glass,6,32,229.4,10.7,455.19
Krude,Bed,Metal,4,57,229.62,25.0,418.62
LesComfe,Desk,Fabric,8,27,179.35,25.5,202.56
LesComfe,Table,Glass,3,34,146.58,12.7,207.14
Krude,Table,Fabric,3,124,290.43,2.0,376.68
Ordinaer,Table,Fabric,3,137,283.45,0.0,453.7
Ordinaer,Sofa,Metal,8,64,363.66,15.7,516.57
LesComfe,Bed,Metal,4,41,324.43,10.3,501.18
LesComfe,Bed,Fabric,1,84,240.13,29.9,
Furneyz,Table,Wood,2,136,78.23,23.2,87.86
Furneyz,Sofa,Fabric,2,187,67.53,22.8,141.14
Ordinaer,Table,Fabric,3,110,230.25,28.7,454.35
Furneyz,Bed,Metal,6,14,260.92,26.6,403.62
Krude,Desk,Plastic,8,184,44.55,9.5,54.14
Krude,Sofa,Glass,1,68,52.43,5.0,110.01
Krude,Sofa,Metal,9,104,211.32,22.4,
Krude,Table,Wood,1,149,26.51,11.3,52.28
LesComfe,Desk,Glass,2,63,75.54,14.2,122.36
Krude,Bed,Metal,3,40,240.29,18.9,
Ordinaer,Chair,Metal,7,70,255.54,27.2,361.35
Furneyz,Bed,Plastic,9,55,219.5,12.6,429.23
Ordinaer,Bed,Wood,3,150,97.9,23.5,188.65
LesComfe,Desk,Wood,8,24,185.44,8.1,370.48
Furneyz,Sofa,Metal,9,104,97.18,20.9,180.28
Furneyz,Bed,Plastic,7,133,149.01,0.0,245.54
Furneyz,Sofa,Metal,4,118,343.35,26.1,443.81
Krude,Desk,Fabric,4,161,287.16,0.9,342.33
LesComfe,Desk,Fabric,4,190,220.15,21.4,432.15
Ordinaer,Table,Plastic,6,8,297.3,1.4,345.93
Krude,Chair,Metal,4,59,248.65,8.0,305.74
Furneyz,Desk,Plastic,5,124,74.84,14.9,92.15
Ordinaer,Desk,Metal,9,48,147.21,12.6,215.47
Ordinaer,Sofa,Metal,7,50,111.63,5.8,194.74
Ordinaer,Desk,Fabric,8,187,99.26,10.0,159.8
LesComfe,Bed,Glass,5,69,256.75,21.8,609.82
Krude,Table,Wood,5,36,134.16,20.1,226.89
LesComfe,Table,Wood,7,30,270.24,2.2,
Furneyz,Bed,Plastic,8,168,231.68,22.4,417.52
Furneyz,Desk,Wood,9,61,325.72,1.6,407.67
Ordinaer,Chair,Fabric,2,92,190.44,16.3,276.19
Ordinaer,Desk,Glass,3,185,161.97,7.8,309.61
Ordinaer,Table,Metal,2,13,239.88,17.6,271.63
LesComfe,Chair,Metal,7,163,120.92,7.8,137.86
Krude,Sofa,Fabric,2,163,305.36,29.5,431.37
LesComfe,Sofa,Wood,2,78,158.1,9.3,202.8
Furneyz,Desk,Metal,2,7,43.74,7.3,60.94
Ordinaer,Desk,Wood,4,153,301.35,8.4,340.46
Ordinaer,Chair,Fabric,1,35,68.77,26.9,129.7
LesComfe,Chair,Metal,2,47,305.82,19.1,473.21
Furneyz,Desk,Plastic,3,84,282.84,21.9,479.27
Krude,Table,Glass,7,27,267.01,27.5,461.69
Ordinaer,Sofa,Wood,1,195,120.48,27.4,249.06
Ordinaer,Chair,Wood,6,189,42.66,22.2,56.96
Furneyz,Table,Wood,3,50,380.05,5.9,467.74
Ordinaer,Desk,Wood,3,103,177.48,25.3,242.68
Krude,Bed,Fabric,4,169,271.01,6.1,606.24
LesComfe,Chair,Fabric,4,100,398.73,22.3,483.63
Furneyz,Bed,Fabric,7,28,327.29,20.6,542.32
Ordinaer,Table,Fabric,3,126,119.59,22.8,182.5
Ordinaer,Sofa,Metal,8,81,171.86,16.0,256.79
Krude,Table,Fabric,8,9,261.52,19.2,433.01
LesComfe,Sofa,Metal,7,105,122.9,28.6,221.51
Krude,Table,Plastic,2,166,109.48,3.0,126.27
LesComfe,Chair,Fabric,5,0,185.21,9.3,300.56
Krude,Chair,Plastic,6,38,324.23,18.3,471.27
LesComfe,Bed,Fabric,4,20,310.93,28.9,454.02
Ordinaer,Table,Plastic,5,64,240.04,2.9,306.53
Ordinaer,Table,Glass,9,14,49.2,0.7,93.73
Ordinaer,Bed,Plastic,7,131,182.63,1.7,408.44
Furneyz,Desk,Metal,2,187,249.32,1.6,495.52
LesComfe,Table,Wood,1,60,85.05,27.2,113.04
Furneyz,Table,Plastic,2,147,192.35,21.6,283.25
LesComfe,Table,Wood,3,137,246.3,20.3,444.82
Ordinaer,Desk,Glass,2,86,338.56,15.7,383.35
Furneyz,Chair,Glass,3,104,258.87,23.5,363.66
Furneyz,Bed,Metal,9,33,218.48,4.7,457.65
Krude,Desk,Metal,4,123,148.29,11.8,211.77
LesComfe,Sofa,Plastic,9,109,140.57,14.7,209.43
Krude,Sofa,Fabric,3,175,219.74,3.3,476.34
Furneyz,Desk,Glass,1,32,252.83,12.6,414.55
Furneyz,Desk,Wood,5,97,362.18,9.5,440.18
Ordinaer,Chair,Fabric,2,60,315.23,1.1,460.96
Krude,Sofa,Glass,4,9,201.29,4.1,322.12
Krude,Bed,Plastic,2,181,185.57,22.9,344.6
Krude,Table,Glass,2,83,211.8,0.5,409.23
LesComfe,Table,Metal,3,64,193.95,28.0,342.48
Furneyz,Chair,Wood,5,76,248.15,2.6,365.89
Krude,Chair,Wood,4,0,238.2,24.0,408.11
Ordinaer,Sofa,Metal,2,132,234.26,27.0,518.08
Furneyz,Bed,Fabric,2,79,169.25,28.2,252.62
Ordinaer,Bed,Metal,6,14,195.46,26.0,
Furneyz,Desk,Wood,7,27,75.43,8.6,92.29
Ordinaer,Chair,Plastic,6,22,261.06,10.0,310.23
Krude,Table,Fabric,7,108,39.49,12.8,66.17
Krude,Table,Glass,1,106,229.48,4.2,259.52
Ordinaer,Sofa,Plastic,6,144,170.27,0.7,338.32
LesComfe,Table,Fabric,3,112,157.57,26.1,178.94
Ordinaer,Bed,Wood,1,97,283.63,16.6,394.84
Furneyz,Bed,Wood,8,140,50.0,18.3,79.66
Ordinaer,Chair,Plastic,4,141,59.62,27.8,66.81
Ordinaer,Sofa,Fabric,8,138,305.81,20.0,483.2
Furneyz,Table,Glass,4,27,128.06,20.7,212.09
Krude,Chair,Glass,4,41,72.32,23.6,107.18
Furneyz,Desk,Metal,4,98,210.17,3.5,285.01
Ordinaer,Desk,Plastic,6,60,209.84,10.8,396.5
Furneyz,Table,Fabric,9,122,110.18,29.0,147.12
Ordinaer,Table,Plastic,5,63,294.78,27.7,330.3
Krude,Table,Glass,8,30,50.93,26.5,88.41
Ordinaer,Bed,Fabric,8,80,59.85,13.6,91.57
Ordinaer,Table,Wood,4,9,249.55,25.7,289.11
Krude,Desk,Wood,9,7,257.35,1.5,293.29
Furneyz,Table,Fabric,9,148,297.79,4.5,336.84
LesComfe,Sofa,Plastic,5,58,266.95,12.4,433.25
LesComfe,Desk,Plastic,6,177,435.78,14.5,489.13
Ordinaer,Sofa,Wood,5,196,226.69,7.9,324.69
Ordinaer,Desk,Wood,3,197,110.3,10.7,
Krude,Chair,Glass,8,29,281.72,4.9,
Furneyz,Desk,Fabric,9,144,135.32,14.7,171.87
LesComfe,Desk,Plastic,4,19,148.26,23.8,
LesComfe,Sofa,Glass,9,47,64.51,19.8,98.1
Krude,Sofa,Plastic,9,129,47.08,3.2,70.62
Krude,Desk,Wood,7,36,273.04,14.6,483.19
LesComfe,Desk,Fabric,8,128,309.43,20.9,426.19
Furneyz,Bed,Metal,3,131,293.69,15.9,453.99
Furneyz,Chair,Fabric,5,99,163.72,11.8,234.03
Furneyz,Chair,Metal,3,53,64.61,18.7,127.98
Ordinaer,Table,Glass,7,121,60.63,29.1,120.4
Furneyz,Desk,Metal,6,24,104.53,2.8,162.61
Ordinaer,Desk,Metal,3,130,258.66,11.7,297.15
Ordinaer,Desk,Glass,9,8,219.77,12.2,371.57
Krude,Desk,Fabric,1,33,261.62,17.3,347.09
Ordinaer,Chair,Glass,3,42,103.62,4.6,
Ordinaer,Sofa,Wood,7,73,301.57,5.3,551.64
Krude,Bed,Wood,3,93,320.63,8.6,477.57
Furneyz,Sofa,Metal,3,21,237.04,28.7,344.38
Furneyz,Sofa,Glass,2,69,175.05,22.0,374.07
LesComfe,Chair,Glass,9,129,160.36,19.9,238.82
LesComfe,Bed,Glass,4,93,82.62,24.5,201.85
Ordinaer,Desk,Fabric,6,193,145.52,3.8,210.19
LesComfe,Chair,Plastic,2,31,299.13,25.8,391.03
Krude,Chair,Plastic,9,105,30.92,17.8,56.48
LesComfe,Bed,Plastic,7,143,62.93,10.1,127.79
LesComfe,Table,Fabric,5,0,46.6,24.5,70.7
Ordinaer,Chair,Glass,7,71,59.3,24.1,68.33
Krude,Sofa,Plastic,4,175,390.29,25.4,500.2
LesComfe,Sofa,Glass,7,49,189.91,3.5,421.64
Furneyz,Desk,Metal,2,140,211.86,29.1,263.38
Krude,Chair,Plastic,7,14,60.99,28.8,94.03
Krude,Desk,Metal,4,52,178.19,10.7,271.23
Ordinaer,Chair,Fabric,4,171,210.9,2.0,263.06
Krude,Bed,Wood,1,7,110.97,5.0,
Krude,Chair,Fabric,3,73,215.9,29.8,245.23
Krude,Sofa,Fabric,5,68,210.3,10.7,376.2
Krude,Bed,Plastic,2,113,273.68,8.6,419.74
Krude,Sofa,Metal,4,146,42.26,7.7,80.94
Krude,Desk,Plastic,1,165,158.6,19.9,218.58
Furneyz,Bed,Wood,9,122,213.39,12.6,414.55
Krude,Table,Fabric,1,138,210.81,29.0,
Ordinaer,Sofa,Glass,6,116,259.58,20.5,500.73
Furneyz,Chair,Wood,7,42,199.75,23.8,346.41
Krude,Chair,Metal,3,19,106.96,8.8,123.32
LesComfe,Chair,Wood,1,147,44.21,2.4,81.76
Ordinaer,Bed,Plastic,7,20,238.17,14.6,423.86
Furneyz,Table,Glass,3,81,36.44,9.4,61.93
Ordinaer,Table,Plastic,6,56,161.68,6.1,313.6
Furneyz,Table,Fabric,6,177,243.37,28.6,473.1
LesComfe,Sofa,Fabric,4,73,176.14,13.3,355.31
Ordinaer,Bed,Wood,6,97,190.24,5.2,280.85
Ordinaer,Chair,Fabric,4,153,208.1,6.0,
Furneyz,Sofa,Fabric,8,157,225.52,8.4,294.65
Furneyz,Table,Metal,9,109,216.52,30.0,295.53
LesComfe,Chair,Metal,2,114,319.55,8.0,473.66
Krude,Bed,Plastic,7,158,163.79,9.9,279.68
Furneyz,Desk,Plastic,9,41,341.0,19.8,482.54
Furneyz,Table,Metal,9,67,367.53,8.8,457.41
Furneyz,Table,Wood,5,188,84.66,6.5,138.11
LesComfe,Table,Metal,1,188,52.08,4.8,81.21
Krude,Table,Plastic,6,69,81.78,9.4,95.35
Krude,Chair,Glass,8,77,51.13,3.2,58.2
LesComfe,Bed,Fabric,1,195,79.27,0.6,115.62
Krude,Sofa,Glass,2,89,238.63,24.1,410.96
Ordinaer,Chair,Glass,1,110,66.62,4.1,82.03
LesComfe,Bed,Fabric,5,111,133.65,23.3,241.92
Furneyz,Sofa,Metal,2,102,300.71,23.9,494.72
Krude,Table,Wood,4,144,35.19,16.1,60.47
Ordinaer,Bed,Glass,1,18,306.74,9.3,520.64
LesComfe,Table,Wood,7,178,101.58,4.4,176.83
LesComfe,Bed,Plastic,8,69,65.27,22.1,128.97
Furneyz,Desk,Glass,5,62,306.1,18.0,363.53
Furneyz,Table,Plastic,2,74,194.1,19.7,333.02
LesComfe,Table,Metal,8,157,235.09,0.3,444.86
Ordinaer,Table,Glass,1,152,200.9,27.8,380.78
Furneyz,Chair,Plastic,7,103,360.66,2.0,411.57
LesComfe,Sofa,Plastic,1,74,124.33,11.0,203.45
LesComfe,Table,Metal,6,127,86.19,12.1,129.85
Furneyz,Table,Wood,6,198,319.66,0.0,
Krude,Chair,Wood,5,153,344.64,14.9,413.08
Ordinaer,Chair,Glass,2,55,313.73,22.6,
Krude,Desk,Metal,2,21,183.23,24.7,235.68
Krude,Bed,Glass,9,88,175.76,26.4,271.76
Ordinaer,Table,Wood,5,18,304.28,14.6,399.39
Ordinaer,Bed,Metal,5,158,114.01,18.9,254.2
Furneyz,Chair,Fabric,7,25,398.68,2.4,468.84
Furneyz,Chair,Metal,6,169,312.22,14.6,436.29
Furneyz,Desk,Metal,2,168,148.99,4.6,243.05
Ordinaer,Sofa,Fabric,1,22,259.92,11.1,446.08
Krude,Chair,Plastic,5,46,200.63,9.9,389.54
Ordinaer,Table,Plastic,4,12,53.13,12.7,96.41
Furneyz,Desk,Plastic,3,65,367.76,17.1,456.15
Krude,Sofa,Wood,2,193,138.68,27.1,318.97
Furneyz,Desk,Metal,2,143,281.25,11.8,421.91
Krude,Chair,Fabric,4,72,137.56,29.4,194.02
Furneyz,Sofa,Wood,2,155,236.39,22.8,520.93
Ordinaer,Bed,Fabric,4,76,200.2,15.3,281.43
LesComfe,Sofa,Wood,3,162,32.4,19.3,63.11
LesComfe,Table,Wood,9,168,284.37,3.1,
Krude,Bed,Wood,7,30,56.61,25.3,113.85
Ordinaer,Bed,Fabric,3,84,114.7,17.5,242.11
Furneyz,Table,Glass,8,159,239.05,29.6,477.53
Krude,Bed,Wood,9,181,378.27,19.1,597.22
Krude,Chair,Plastic,7,199,273.16,25.0,308.05
Furneyz,Sofa,Metal,6,58,197.16,24.0,384.48
Furneyz,Sofa,Glass,4,40,192.68,10.4,
Furneyz,Table,Glass,5,111,144.97,7.8,
Ordinaer,Chair,Fabric,8,193,166.11,12.9,197.9
LesComfe,Bed,Glass,3,95,235.93,14.0,440.79
Krude,Sofa,Fabric,2,181,241.37,7.2,446.85
Krude,Sofa,Fabric,3,167,255.96,26.8,
LesComfe,Sofa,Plastic,7,121,318.2,16.3,466.13
Krude,Sofa,Wood,8,155,75.27,29.4,104.7
Ordinaer,Desk,Glass,1,164,156.04,24.3,272.49
Furneyz,Table,Wood,7,104,49.21,16.7,75.9
LesComfe,Bed,Wood,9,192,255.9,28.4,371.61
Ordinaer,Bed,Wood,3,73,204.59,15.1,310.86
Furneyz,Table,Fabric,3,182,401.8,26.6,449.47
LesComfe,Chair,Wood,8,131,166.68,10.7,
Ordinaer,Table,Glass,4,98,67.49,11.4,102.68
LesComfe,Sofa,Fabric,8,125,84.19,12.5,131.5
LesComfe,Sofa,Glass,5,137,300.17,16.4,451.58
Ordinaer,Table,Fabric,3,174,174.4,16.6,328.2
Krude,Table,Metal,4,74,68.55,14.9,
Ordinaer,Bed,Metal,4,13,68.85,9.2,109.81
LesComfe,Bed,Metal,8,37,207.18,27.8,456.8
LesComfe,Desk,Metal,6,139,67.21,17.7,82.74
Ordinaer,Desk,Fabric,7,44,307.95,12.2,419.84
Furneyz,Sofa,Wood,9,144,324.0,19.5,422.98
Furneyz,Desk,Plastic,6,162,44.77,23.0,86.61
Furneyz,Desk,Plastic,3,193,53.45,28.8,88.18
Furneyz,Chair,Metal,3,74,365.86,15.0,493.99
Ordinaer,Table,Wood,3,168,135.12,3.4,218.42
Krude,Bed,Glass,2,194,170.35,13.2,270.99
Furneyz,Desk,Wood,1,28,334.11,14.4,415.76
LesComfe,Bed,Glass,1,17,257.66,26.9,595.33
Furneyz,Desk,Plastic,4,19,348.33,11.8,493.7
Krude,Desk,Wood,3,13,273.7,28.6,389.02
Ordinaer,Sofa,Wood,5,161,142.05,14.6,252.21
Krude,Chair,Plastic,9,176,76.47,29.2,87.58
Krude,Table,Wood,8,53,332.17,0.2,399.72
Krude,Table,Glass,9,30,234.66,27.0,
Furneyz,Sofa,Wood,5,57,189.28,27.9,277.03
Furneyz,Sofa,Glass,8,103,313.49,28.8,526.54
Krude,Table,Metal,4,169,86.87,0.4,100.04
Ordinaer,Table,Wood,5,185,211.32,5.2,271.68
Furneyz,Chair,Glass,3,127,43.62,19.6,55.11
Ordinaer,Desk,Plastic,5,157,220.37,0.8,260.9
Furneyz,Chair,Metal,3,24,45.93,1.9,75.34
Ordinaer,Table,Wood,5,190,85.14,6.6,103.47
Furneyz,Desk,Glass,5,18,59.48,15.4,102.89
Krude,Table,Wood,6,199,218.34,16.4,
LesComfe,Chair,Glass,9,135,244.64,1.0,385.72
LesComfe,Chair,Wood,1,2,278.58,5.1,312.52
Ordinaer,Chair,Metal,6,194,406.96,15.0,482.98
Ordinaer,Desk,Metal,1,85,170.68,17.8,218.69
Krude,Bed,Wood,6,144,141.22,4.5,223.21
Krude,Bed,Wood,2,141,319.56,12.0,551.09
